"","Segment","Start","End","StartNew","EndNew"
"2",2,2019-03-27 20:22:15,2019-03-27 20:22:31,1985,2001
"3",3,2019-03-27 21:26:35,2019-03-27 21:26:38,5845,5848
"4",4,2019-03-27 21:34:08,2019-03-27 21:34:10,6298,6300
"5",5,2019-03-27 21:59:55,2019-03-27 22:00:07,7845,7857
"6",6,2019-03-27 22:48:40,2019-03-27 22:48:42,10770,10772
"7",7,2019-03-27 23:00:00,2019-03-27 23:00:43,11450,11493
