Segment,Start,End
1,19:23:03,19:23:40
2,19:42:34,19:42:38
3,20:13:41,20:13:47
4,20:14:09,20:14:11
5,20:21:30,20:21:44
6,20:22:10,20:22:22
7,20:27:56,20:28:01
8,20:28:11,20:28:31
9,20:29:12,20:29:16
10,20:45:19,20:45:53
11,20:46:08,20:47:09
12,20:47:28,20:47:36
13,20:57:53,20:58:23
