"","Segment","Start","End","StartNew","EndNew"
"1",1,2019-03-27 19:23:03,2019-03-27 19:23:40,85,122
"2",2,2019-03-27 19:42:34,2019-03-27 19:42:38,1256,1260
"3",3,2019-03-27 20:13:41,2019-03-27 20:13:47,3123,3129
"4",4,2019-03-27 20:14:09,2019-03-27 20:14:11,3151,3153
"5",5,2019-03-27 20:21:30,2019-03-27 20:21:44,3592,3606
"6",6,2019-03-27 20:22:10,2019-03-27 20:22:22,3632,3644
"7",7,2019-03-27 20:27:56,2019-03-27 20:28:01,3978,3983
"8",8,2019-03-27 20:28:11,2019-03-27 20:28:31,3993,4013
"9",9,2019-03-27 20:29:12,2019-03-27 20:29:16,4054,4058
"10",10,2019-03-27 20:45:19,2019-03-27 20:45:53,5021,5055
"11",11,2019-03-27 20:46:08,2019-03-27 20:47:09,5070,5131
"12",12,2019-03-27 20:47:28,2019-03-27 20:47:36,5150,5158
"13",13,2019-03-27 20:57:53,2019-03-27 20:58:23,5775,5805
