Time,Behavior,Comment
3717.07,Straight swim,
3862.37,Lturn,
3873.967,Straight swim,
3885.042,Feed,
3888.517,Rturn while feed,
3900.416,Out of water,
3912.096,Rturn,
3921.202,Straight swim,
3925.38,Rturn while feed,
3928.828,Rturn while feed,
3936.651,Feed,
3938.227,Out of water,
3954.353,Straight swim,
3960.18,Feed,
3971.58,Out of water,
3997.351,Feed,
3999.529,Lturn while feed,
4001.128,Swallow,
4002.178,Swallow,
4003.355,Swallow,
4004.655,Swallow,
4006.751,Straight swim,
4009.351,Rturn,
4024.28,Straight swim,
4026.905,Rturn,
4032.705,Straight swim,
4043.98,Feed,
4055.752,Out of water,
4067.153,Feed,
4068.477,Lturn while feed,
4072.478,Rturn while feed,
4075.605,Straight swim,
4076.7,Rturn,
4086.53,Swallow,
4087.579,Swallow,
4089.177,Swallow,
4100.792,Straight swim,
4203.269,Feed,
4234.11,Straight swim,
4244.71,Feed,
4248.934,Rturn while feed,
4252.709,Feed,
4254.584,Out of water,
4265.783,Feed,
4277.282,Straight swim,
4280.208,Lturn,
4285.556,Feed,
4312.109,Straight swim,
4321.535,Feed,
4324.459,Out of water,
4347.135,Swallow,
4348.432,Swallow,
4350.235,Swallow,
4352.656,Rturn,
4368.631,Straight swim,
4773.057,Out of water,
4782.383,Straight swim,
4801.908,Straight swim,
4862.237,Feed,
4866.709,Out of water,
4874.634,Feed,
4879.682,Straight swim,
4941.008,Straight swim,
4990.691,Straight swim,
5099.058,Feed,
5105.772,Lturn while feed,
5115.826,Lturn,
5118.566,Swallow,
5119.894,Swallow,
5121.945,Swallow,
5126.244,Lturn,
5129.545,Feed,
5135.47,Out of water,
5145.517,Straight swim,
5147.07,Lturn,
5155.067,Feed,
5160.645,Out of water,
5170.543,Feed,
5177.166,Lturn while feed,
5181.865,Swallow,
5182.92,Swallow,
5184.043,Swallow,
5185.32,Swallow,
5187.194,Lturn while feed,
5190.867,Feed,
5191.395,Out of water,
5204.469,Feed,
5212.344,Lturn,
5215.595,Swallow,
5216.895,Swallow,
