Segment,Start,End
1,12:51:48,19:51:49
2,20:22:15,20:22:31
3,21:26:35,21:26:38
4,21:34:08,21:34:10
5,21:59:55,22:00:07
6,22:48:40,22:48:42
7,23:00,23:00:43
