Segment,Start,End
1,21:22:00,21:24:52
2,21:26:00,21:32:32
3,21:34:03,21:35:48
4,21:38:48,21:39:06
5,21:48:26,21:49:02
6,21:52:43,21:52:45
7,21:54:08,21:54:37
8,21:58:19,21:58:53
9,22:01:15,21:01:22
10,21:16:01,21:16:55
11,22:20:13,22:20:38
12,22:25:38,22:26:36
13,22:31:57,22:32:53
14,22:48:31,22:49:25
15,22:55:31,22:56:16
16,23:09:40,23:10:19
17,23:15:55,23:16:39
18,23:18:42,23:20:23
