Time,Behavior,Comment
2093.926,Swallow,
2096.603,Straight swim,
2107.077,Feed,
2120.405,Rturn while feed,
2131.105,Feed,
2156.355,Rturn while feed,
2162,Feed,
2212.602,Swallow,
2213.653,Swallow,
2215.001,Swallow,
2216.102,Swallow,
2217.403,Swallow,
2218,Feed,
2247.145,Lturn while feed,
2251.076,Out of water,
2254.776,Feed,
2258.305,Rturn while feed,
2262.626,Lturn while feed,
2264.829,Rturn while feed,
2268.279,Lturn while feed,
2269.675,Rturn while feed,
2276.379,Out of water,
2283.03,Rturn while feed,
2291.277,Straight swim,
2292.078,Straight swim,
2293.701,Rturn while feed,
2295.274,Feed,
2303.749,Lturn while feed,
2307.049,Out of water,
2312.653,Out of water,
2313.199,Rturn while feed,
2315.825,Feed,
2316.628,Lturn while feed,
2323.45,Out of water,
2325.528,Out of water,
2328.395,Feed,
2332.178,Feed,
2334.192,Rturn while feed,
2336.27,Out of water,
2344.993,Feed,
2344.993,Out of water,
2346.544,Rturn while feed,
2356.118,Feed,
2358.793,Out of water,
2367.291,Out of water,
2367.566,Feed,
2369.44,Rturn while feed,
2370.992,Swallow,
2372.065,Swallow,
2372.57,Out of water,
2395.869,Out of water,
2397.194,Out of water,
2398.794,Out of water,
2401.24,Feed,
2402.017,Lturn while feed,
2412.407,Lturn while feed,
2415.908,Out of water,
2423.384,Feed,
2440.233,Out of water,
2464.258,Feed,
2466.709,Lturn while feed,
2470.431,Rturn while feed,
2473.134,Lturn while feed,
2478.707,Rturn while feed,
2481.657,Feed,
2484.582,Rturn while feed,
2486.485,Feed,
2487.008,Out of water,
2491.559,Rturn while feed,
2497.956,Feed,
2504.058,Lturn while feed,
2508.133,Rturn while feed,
2511.18,Lturn while feed,
2516.405,Feed,
2523.556,Lturn while feed,
2528.084,Swallow,
2529.655,Swallow,
2530.96,Swallow,
2533.483,Feed,
2534.006,Out of water,
2548.238,Feed,
2557.309,Left turn,
2559.41,Out of water,
2602.98,Straight swim,
2605.695,Feed,
2606.482,Rturn while feed,
2609.634,Feed,
2615.308,Lturn while feed,
2622.612,Feed,
2625.208,Rturn while feed,
2628.404,Out of water,
2728.358,Feed,
2734.972,Swallow,
2736.009,Swallow,
2737.334,Swallow,
2738.634,Swallow,
2743.767,Straight swim,
2750.405,Feed,
2753.557,Straight swim,
2761.784,Left turn,
2772.055,Straight swim,
2792.355,Feed,
2803.751,Straight swim,
2807.775,Left turn,
2812.872,Straight swim,
2817.871,Left turn,
2819.198,Left turn,
2826.347,Right turn,
2833.746,Straight swim,
2841.373,Feed,
2854.222,Straight swim,
2854.348,Straight swim,
2863.747,Feed,
2868.475,Out of water,
2879.722,Feed,
2881.824,Straight swim,
2886.349,Swallow,
2887.698,Swallow,
2888.571,Swallow,
2889.372,Swallow,
2890.448,Straight swim,
2905.5,Left turn,
2910.875,Straight swim,
2942.375,Left turn,
2948.251,Straight swim,
2973.523,Feed,
3009.177,Out of water,
3017.183,Feed,
3022.51,Lturn while feed,
3023.833,Out of water,
3024.434,Out of water,
3028.659,Rturn while feed,
3031.335,Feed,
3032.908,Lturn while feed,
3034.534,Rturn while feed,
3038.306,Feed,
3039.451,Out of water,
3104.955,Feed,
3107.356,Rturn while feed,
3115.784,Rturn while feed,
3124.604,Feed,
3130.157,Out of water,
3555.185,Straight swim,
3569.581,Left turn,
3573.333,Out of water,
3583.303,Feed,
3586.808,Lturn while feed,
3589.716,Out of water,
3598.857,Feed,
3602.433,Lturn while feed,
3606.404,Feed,
3607.202,Rturn while feed,
3610.955,Rturn while feed,
3611.241,Rturn while feed,
3613.863,Feed,
3614.64,Feed,
3616.211,Rturn while feed,
3620.988,Feed,
3625.064,Lturn while feed,
3630.099,Out of water,
3637.309,Swallow,
3638.071,Swallow,
3638.922,Swallow,
3639.994,Swallow,
3640.769,Swallow,
3644.518,Straight swim,
3661.812,Out of water,
3689.864,Straight swim,
3691.173,Left turn,
3692.486,Left turn,
3695.795,Straight swim,
3703.897,Feed,
3706.498,Lturn while feed,
3715.02,Feed,
3719.57,Rturn while feed,
3728.495,Straight swim,
3730.321,Feed,
3735.72,Rturn while feed,
3737.844,Lturn while feed,
3738.922,Rturn while feed,
3740.018,Lturn while feed,
3742.118,Out of water,
3821.601,Feed,
3823.73,Rturn while feed,
3825.553,Lturn while feed,
3830.577,Out of water,
3842.88,Lturn while feed,
3846.279,Swallow,
3847.33,Swallow,
3848.15,Swallow,
3849.378,Swallow,
3850.454,Swallow,
3854.278,Straight swim,
3857.454,Out of water,
3862.553,Feed,
3869.611,Straight swim,
3893.933,Feed,
3899.188,Straight swim,
3930.596,Straight swim,
3942.474,Feed,
3957.123,Right turn,
3967.674,Straight swim,
3987.075,Left turn,
3995.048,Feed,
4010.447,Straight swim,
4024.821,Feed,
4028.587,Feed,
4036.798,Straight swim,
4041.598,Swallow,
4042.647,Swallow,
4043.697,Swallow,
4044.997,Swallow,
4046.298,Straight swim,
4047.672,Swallow,
4049.419,Straight swim,
4055.072,Lturn while feed,
4057.427,Rturn while feed,
4060.047,Feed,
4076.295,Lturn while feed,
4079.121,Feed,
4081.348,Out of water,
4100.448,Feed,
4102.47,Rturn while feed,
4105.446,Right turn,
4107.398,Swallow,
4108.246,Swallow,
4109.369,Swallow,
4110.447,Swallow,
4111.747,Swallow,
4113.298,Feed,
4114.146,Lturn while feed,
4117.571,Feed,
4121.844,Rturn while feed,
4127.194,Feed,
4128.07,Lturn while feed,
4134.921,Feed,
4143.144,Lturn while feed,
4147.195,Feed,
4149.122,Out of water,
4153.669,Straight swim,
4154.946,Right turn,
4158.598,Swallow,
4160.073,Swallow,
4160.946,Swallow,
4162.246,Swallow,
4163.745,Straight swim,
4165.348,Right turn,
4176.419,Straight swim,
4178.37,Feed,
4181.848,Lturn while feed,
4185.924,Feed,
4215.273,Out of water,
4222.922,Feed,
4232.874,Lturn while feed,
4233.498,Out of water,
4256.646,Swallow,
4257.296,Swallow,
4259.274,Swallow,
4261.548,Feed,
4265.198,Out of water,
4320.822,Feed,
4327.498,Out of water,
4356.897,Feed,
4360.848,Swallow,
4361.698,Swallow,
4362.797,Swallow,
4363.822,Swallow,
4364.896,Swallow,
4366.871,Straight swim,
4368.998,Feed,
4371.549,Out of water,
4383.073,Feed,
4394.572,Out of water,
4404.073,Feed,
4408.571,Rturn while feed,
4416.323,Straight swim,
4420.673,Swallow,
4421.972,Swallow,
4423.099,Swallow,
4424.395,Swallow,
4425.724,Swallow,
4426.799,Straight swim,
4435.947,Left turn,
4446.869,Straight swim,
4461.697,Left turn,
4467.172,Straight swim,
4470.076,Right turn,
4473.519,Straight swim,
4484.52,Straight swim,
4607.896,Left turn,
4615.034,Straight swim,
4643.157,Left turn,
4650.158,Straight swim,
4667.733,Swallow,
4668.634,Swallow,
4669.707,Swallow,
4671.259,Swallow,
4673.181,Straight swim,
4674.682,Swallow,
4675.958,Straight swim,
4691.48,Left turn,
4701.156,Straight swim,
4712.359,Left turn,
4717.384,Straight swim,
4726.258,Left turn,
4728.234,Feed,
4729.306,Lturn while feed,
4730.134,Out of water,
4733.384,Lturn while feed,
4735.783,Feed,
4738.356,Rturn while feed,
4741.131,Out of water,
4776.581,Feed,
4776.581,Rturn while feed,
4777.231,Rturn while feed,
4783.356,Out of water,
4790.356,Feed,
4793.631,Out of water,
4806.179,Swallow,
4807.303,Swallow,
4808.355,Swallow,
4809.656,Swallow,
4810.579,Swallow,
4812.082,Out of water,
4817.009,Straight swim,
4842.406,Feed,
4843.682,Lturn while feed,
4849.284,Feed,
4855.956,Straight swim,
4860.608,Left turn,
4863.254,Straight swim,
4864.106,Swallow,
4865.182,Swallow,
4866.734,Swallow,
4868.68,Swallow,
4870.659,Straight swim,
4910.68,Left turn,
4914.759,Straight swim,
4926.508,Left turn,
4933.631,Left turn,
4939.884,Straight swim,
4942.61,Left turn,
4945.457,Straight swim,
4954.334,Left turn,
4966.023,Straight swim,
4991.609,Left turn,
4997.209,Straight swim,
4998.707,Feed,
5020.059,Straight swim,
5021.584,Left turn,
5028.955,Straight swim,
5031.983,Swallow,
5033.066,Swallow,
5034.159,Swallow,
5035.682,Swallow,
5037.907,Straight swim,
5046.972,Feed,
5068.597,Straight swim,
5077.37,Swallow,
5078.447,Swallow,
5079.996,Swallow,
5082.172,Straight swim,
5167.413,Feed,
5192.185,Rturn while feed,
5194.962,Straight swim,
5204.736,Swallow,
5206.289,Straight swim,
5215.463,Straight swim,
5235.663,Feed,
5251.186,Straight swim,
5272.538,Feed,
