"","Segment","Start","End","StartNew","EndNew"
"1",1,2019-03-27 21:03:24,2019-03-27 21:06:02,6106,6264
"2",2,2019-03-27 21:11:12,2019-03-27 21:11:29,6574,6591
"3",3,2019-03-27 21:12:08,2019-03-27 21:12:50,6630,6672
"4",4,2019-03-27 21:42:12,2019-03-27 21:46:47,8434,8709
"5",5,2019-03-27 21:48:35,2019-03-27 21:50:18,8817,8920
"6",6,2019-03-27 21:52:52,2019-03-27 21:55:06,9074,9208
"7",7,2019-03-27 22:02:16,2019-03-27 22:06:16,9638,9878
"8",8,2019-03-27 22:09:22,2019-03-27 22:10:29,10064,10131
