"","Segment","Start","End","StartNew","EndNew"
"1",1,2019-03-27 22:21:27,2019-03-27 22:21:31,9137,9141
"2",2,2019-03-27 22:53:43,2019-03-27 22:40:49,11073,10299
"3",3,2019-03-27 22:41:35,2019-03-27 22:41:39,10345,10349
"4",4,2019-03-27 22:42:41,2019-03-27 22:42:53,10411,10423
"5",5,2019-03-27 23:02:26,2019-03-27 23:04:31,11596,11721
